date,dance_total_streams
2017-01-01,210260485.0
2017-01-08,235972290.0
2017-01-15,226585854.0
2017-01-22,254265077.0
2017-01-29,245923145.0
2017-02-05,257258553.0
2017-02-12,253132020.0
2017-02-19,256196205.0
2017-02-26,246729103.0
2017-03-05,266701938.0
2017-03-12,286387625.0
2017-03-19,285619125.0
2017-03-26,260446543.0
2017-04-02,260931040.0
2017-04-09,265609691.0
2017-04-16,306247958.0
2017-04-23,251013734.0
2017-04-30,239981457.0
2017-05-07,219820424.0
2017-05-14,217363633.0
2017-05-21,215414718.0
2017-05-28,253314690.0
2017-06-04,268440807.0
2017-06-11,276998565.0
2017-06-18,309081189.0
2017-06-25,351714677.0
2017-07-02,342321209.0
2017-07-09,372266676.0
2017-07-16,357605827.0
2017-07-23,313371006.0
2017-07-30,326470639.0
2017-08-06,327304555.0
2017-08-13,321957587.0
2017-08-20,339632178.0
2017-08-27,321645826.0
2017-09-03,307388326.0
2017-09-10,299336181.0
2017-09-17,275085270.0
2017-09-24,257224998.0
2017-10-01,247684477.0
2017-10-08,220602048.0
2017-10-15,204720845.0
2017-10-22,186530812.0
2017-10-29,188040328.0
2017-11-05,179461034.0
2017-11-12,151158191.0
2017-11-19,150483269.0
2017-11-26,145745826.0
2017-12-03,135760834.0
2017-12-10,132821417.0
2017-12-17,133819739.0
2017-12-24,109180245.0
2017-12-31,95503394.0
2018-01-07,146129374.0
2018-01-14,129480544.0
2018-01-21,122305068.0
2018-01-28,126978462.0
2018-02-04,144427605.0
2018-02-11,130335625.0
2018-02-18,115062846.0
2018-02-25,130876901.0
2018-03-04,126728420.0
2018-03-11,136139686.0
2018-03-18,127157883.0
2018-03-25,141831764.0
2018-04-01,145922795.0
2018-04-08,128503993.0
2018-04-15,149698418.0
2018-04-22,163082417.0
2018-04-29,284271405.0
2018-05-06,194279699.0
2018-05-13,183745014.0
2018-05-20,174999996.0
2018-05-27,175127100.0
2018-06-03,175962742.0
2018-06-10,177586184.0
2018-06-17,177360284.0
2018-06-24,192445685.0
2018-07-01,204094589.0
2018-07-08,193017315.5
2018-07-15,198210497.0
2018-07-22,203494831.0
2018-07-29,210483354.5
2018-08-05,216968041.5
2018-08-12,200349468.5
2018-08-19,189720820.5
2018-08-26,209233886.5
2018-09-02,211021595.5
2018-09-09,208428926.0
2018-09-16,224700170.0
2018-09-23,245301874.5
2018-09-30,234486351.0
2018-10-07,221475169.5
2018-10-14,220186416.5
2018-10-21,228563311.0
2018-10-28,210315814.0
2018-11-04,218043065.0
2018-11-11,197273749.0
2018-11-18,184400084.0
2018-11-25,181071244.0
2018-12-02,152166036.0
2018-12-09,129851791.0
2018-12-16,117289984.0
2018-12-23,118644366.0
2018-12-30,84615073.0
2019-01-06,137284663.0
2019-01-13,143097642.0
2019-01-20,144698352.0
2019-01-27,149574786.0
2019-02-03,153893269.0
2019-02-10,171825886.0
2019-02-17,176525358.0
2019-02-24,187470191.0
2019-03-03,168483526.0
2019-03-10,159509939.0
2019-03-17,149722382.0
2019-03-24,137285594.0
2019-03-31,140356418.0
2019-04-07,141132829.0
2019-04-14,125326738.0
2019-04-21,129857982.0
2019-04-28,146054164.0
2019-05-05,144010781.0
2019-05-12,142473312.0
2019-05-19,161859987.0
2019-05-26,140777747.0
2019-06-02,150539822.0
2019-06-09,155621341.0
2019-06-16,179907320.0
2019-06-23,177632161.0
2019-06-30,197310083.0
2019-07-07,197036300.0
2019-07-14,196943611.0
2019-07-21,192378108.0
2019-07-28,193724251.0
2019-08-04,193420746.0
2019-08-11,184844218.0
2019-08-18,169051444.0
2019-08-25,161764388.0
2019-09-01,140234913.0
2019-09-08,129781442.0
2019-09-15,143719671.0
2019-09-22,158282830.0
2019-09-29,150156938.0
2019-10-06,140733813.0
2019-10-13,145468758.0
2019-10-20,151726446.0
2019-10-27,158657255.0
2019-11-03,164243813.0
2019-11-10,190213583.0
2019-11-17,192635756.0
2019-11-24,190747978.0
2019-12-01,183231436.0
2019-12-08,164701497.0
2019-12-15,138595146.0
2019-12-22,139336801.0
2019-12-29,117396296.0
2020-01-05,171417223.0
2020-01-12,174261446.0
2020-01-19,170620356.0
2020-01-26,147324940.0
2020-02-02,175502186.0
2020-02-09,194586012.0
2020-02-16,186382106.0
2020-02-23,168061177.0
2020-03-01,163298257.0
2020-03-08,168128021.0
2020-03-15,144860775.0
2020-03-22,136735276.0
2020-03-29,141346107.0
2020-04-05,164329019.0
2020-04-12,158486645.0
2020-04-19,154325343.0
2020-04-26,147577108.0
2020-05-03,143437338.0
2020-05-10,142588105.0
2020-05-17,135324810.0
2020-05-24,137306544.5
2020-05-31,128479431.0
2020-06-07,126452960.5
2020-06-14,131095812.5
2020-06-21,133351017.5
2020-06-28,136623986.0
2020-07-05,129693230.5
2020-07-12,131793467.0
2020-07-19,129708637.0
2020-07-26,141116882.0
2020-08-02,129515925.0
2020-08-09,129649110.0
2020-08-16,146552692.0
2020-08-23,137116957.0
2020-08-30,124873800.0
2020-09-06,122364404.0
2020-09-13,122899566.0
2020-09-20,124255684.0
2020-09-27,134939319.0
2020-10-04,121933198.0
2020-10-11,110931673.0
2020-10-18,107834817.0
2020-10-25,106738465.0
2020-11-01,104961829.0
2020-11-08,89549355.0
2020-11-15,84341188.0
2020-11-22,88316321.0
2020-11-29,80881566.0
2020-12-06,74877518.0
2020-12-13,75482102.0
2020-12-20,66355483.0
2020-12-27,68130486.0
2021-01-03,73110733.0
2021-01-10,94976239.0
2021-01-17,80851346.0
2021-01-24,75196583.0
2021-01-31,78917447.0
2021-02-07,83112907.0
2021-02-14,87945733.0
2021-02-21,89181360.0
2021-02-28,98429845.0
2021-03-07,107512238.0
2021-03-14,101670978.0
2021-03-21,109403830.0
2021-03-28,106715196.0
2021-04-04,105889680.0
2021-04-11,104602584.0
2021-04-18,103220217.0
2021-04-25,115030051.0
2021-05-02,115303831.0
2021-05-09,111371542.0
2021-05-16,110749523.0
2021-05-23,111753737.0
2021-05-30,96649043.0
2021-06-06,103719370.0
2021-06-13,104086142.0
2021-06-20,101429172.0
2021-06-27,109891867.0
2021-07-04,89954488.0
2021-07-11,92054531.0
2021-07-18,100121388.0
2021-07-25,94680847.0
2021-08-01,88770954.0
2021-08-08,79823843.0
2021-08-15,87415132.0
2021-08-22,96876438.0
2021-08-29,89866237.0
2021-09-05,92936440.0
2021-09-12,89645859.0
2021-09-19,77663786.0
2021-09-26,79439683.0
2021-10-03,78249066.0
2021-10-10,71414336.0
2021-10-17,75414371.0
2021-10-24,74520414.0
2021-10-31,101992994.0
2021-11-07,105883160.0
2021-11-14,98200380.0
2021-11-21,82257082.0
2021-11-28,83744224.0
2021-12-05,83415807.0
2021-12-12,80093700.0
2021-12-19,78973344.0
2021-12-26,73002223.0
2022-01-02,68402871.0
2022-01-09,102691840.0
2022-01-16,86100664.0
2022-01-23,90457446.0
2022-01-30,83302242.0
2022-02-06,83794645.0
2022-02-13,83585507.0
2022-02-20,75159380.0
2022-02-27,77094673.0
2022-03-06,75715627.0
2022-03-13,68869223.0
2022-03-20,73173654.0
2022-03-27,75289352.0
2022-04-03,75266919.0
2022-04-10,71019687.0
2022-04-17,76283245.0
2022-04-24,79441887.0
2022-05-01,72980888.0
2022-05-08,66786340.0
2022-05-15,58772991.0
2022-05-22,59055300.0
2022-05-29,57204353.0
2022-06-05,85917192.0
2022-06-12,88539085.0
2022-06-19,96174881.0
2022-06-26,291991879.0
2022-07-03,145305143.0
2022-07-10,128529478.0
2022-07-17,131500147.0
2022-07-24,139281608.0
2022-07-31,126827107.0
2022-08-07,99670869.0
2022-08-14,119693582.0
2022-08-21,104178182.0
2022-08-28,101714097.0
2022-09-04,117801694.0
2022-09-11,128079437.0
2022-09-18,124900599.0
2022-09-25,121887244.0
2022-10-02,116043721.0
2022-10-09,111971805.0
2022-10-16,116305022.0
2022-10-23,110399587.0
2022-10-30,93793639.0
2022-11-06,84464148.0
2022-11-13,65180434.0
2022-11-20,62922100.0
2022-11-27,66205514.0
2022-12-04,58136340.0
2022-12-11,51627072.0
2022-12-18,34161040.0
2022-12-25,63954345.0
2023-01-01,58048016.0
2023-01-08,111547543.0
2023-01-15,83522918.0
2023-01-22,75576111.0
2023-01-29,76948010.0
2023-02-05,68436045.0
2023-02-12,75366968.0
2023-02-19,78621058.0
2023-02-26,76141614.0
2023-03-05,58161171.0
2023-03-12,56310101.0
2023-03-19,65671562.0
2023-03-26,65979814.0
2023-04-02,62730016.0
2023-04-09,53679097.0
2023-04-16,50853818.0
2023-04-23,51237023.0
2023-04-30,49525080.0
2023-05-07,49695852.0
2023-05-14,48120548.0
2023-05-21,47198408.0
2023-05-28,47033762.0
2023-06-04,54736804.0
2023-06-11,44927857.0
2023-06-18,67652628.0
2023-06-25,59064942.0
2023-07-02,63552030.0
2023-07-09,51727701.0
2023-07-16,44564230.0
2023-07-23,52616357.0
2023-07-30,52482849.0
2023-08-06,54326609.0
2023-08-13,46411501.0
2023-08-20,54828246.0
2023-08-27,73618682.0
2023-09-03,67090737.0
2023-09-10,69340637.0
2023-09-17,69406940.0
2023-09-24,68047385.0
2023-10-01,67616775.0
2023-10-08,73802519.0
2023-10-15,73933257.0
2023-10-22,71210174.0
2023-10-29,70060725.0
2023-11-05,67513342.0
2023-11-12,59991609.0
2023-11-19,66935288.0
2023-11-26,51570736.0
2023-12-03,50919544.0
2023-12-10,45546708.0
2023-12-17,24318897.0
2023-12-24,24370265.0
2023-12-31,22637794.0
2024-01-07,71172681.0
2024-01-14,82389878.0
2024-01-21,93002985.0
2024-01-28,117423473.0
2024-02-04,115837858.0
2024-02-11,101457903.0
2024-02-18,78437321.0
2024-02-25,75674469.0
2024-03-03,92038742.0
2024-03-10,109813808.0
2024-03-17,98784560.0
2024-03-24,95915504.0
2024-03-31,93348941.0
2024-04-07,87838070.0
2024-04-14,90641106.0
2024-04-21,122038320.0
2024-04-28,94845552.0
2024-05-05,92922188.0
2024-05-12,102740270.0
2024-05-19,106868866.0
2024-05-26,102657966.0
2024-06-02,91986487.0
2024-06-09,119419429.0
2024-06-16,89194455.0
2024-06-23,101517575.0
2024-06-30,103802015.0
2024-07-07,81764455.0
2024-07-14,86079679.0
2024-07-21,88580898.0
2024-07-28,97614389.0
2024-08-04,90125766.0
2024-08-11,113263516.0
2024-08-18,108417487.0
2024-08-25,112833994.0
2024-09-01,94597988.0
2024-09-08,88478467.0
2024-09-15,85984194.0
2024-09-22,95707455.0
2024-09-29,97236342.0
2024-10-06,84718345.0
2024-10-13,64379996.0
2024-10-20,61675012.0
2024-10-27,53982552.0
2024-11-03,48870818.0
2024-11-10,63739622.0
2024-11-17,71098981.0
2024-11-24,56328528.0
2024-12-01,38058432.0
2024-12-08,29800201.0
2024-12-15,30143051.0
2024-12-22,26779027.0
2024-12-29,15244265.0
2025-01-05,57382216.0
2025-01-12,64247475.0
2025-01-19,66670651.0
2025-01-26,68130526.0
2025-02-02,73895169.0
2025-02-09,67567749.0
2025-02-16,53584826.0
2025-02-23,52009357.0
2025-03-02,61370405.0
2025-03-09,70997042.0
2025-03-16,103133928.0
2025-03-23,103721286.0
