date,films_games_total_streams
2017-01-01,5553147.0
2017-01-22,2827992.0
2017-01-29,6004978.0
2017-02-05,7109489.0
2017-02-12,6407187.0
2017-02-19,3101547.0
2017-02-26,4891332.0
2017-03-05,3757213.0
2017-03-19,3522279.0
2017-03-26,5214692.0
2017-04-02,4598911.0
2017-04-09,3922898.0
2017-04-16,3305748.0
2017-12-03,4423222.0
2017-12-10,6903809.0
2017-12-17,7888911.0
2017-12-24,8760279.0
2017-12-31,17357872.0
2018-02-18,6595626.0
2018-02-25,21884850.0
2018-03-04,27863473.0
2018-03-11,29165777.0
2018-03-18,29219674.0
2018-03-25,28305858.0
2018-04-01,28520845.0
2018-04-08,26184129.0
2018-04-15,24841111.0
2018-04-22,25004206.0
2018-04-29,31641008.0
2018-05-06,27800082.0
2018-05-13,23738451.0
2018-05-20,22930876.0
2018-05-27,23224022.0
2018-06-03,22790958.0
2018-06-10,20941411.0
2018-06-17,20924917.0
2018-06-24,18273816.0
2018-07-01,15881082.0
2018-07-08,13301050.0
2018-07-15,13327601.0
2018-07-22,11889738.0
2018-07-29,11369558.0
2018-08-05,10633182.0
2018-08-12,6205313.0
2018-08-19,6162725.0
2018-08-26,5948824.0
2018-09-02,5926883.0
2018-09-09,5885428.0
2018-09-16,5971814.0
2018-09-23,5938437.0
2018-09-30,5991703.0
2018-10-07,5929061.0
2018-10-14,5833211.0
2018-10-21,13570015.0
2018-10-28,19796860.0
2018-11-04,23663769.0
2018-11-11,20410781.0
2018-11-18,19638151.0
2018-11-25,17681086.0
2018-12-02,18764039.0
2018-12-09,17602095.0
2018-12-16,23297554.0
2018-12-23,29128036.0
2018-12-30,22360872.0
2019-01-06,9567267.0
2019-01-13,10513898.0
2019-01-20,10643876.0
2019-01-27,10390627.0
2019-02-03,10736513.0
2019-02-10,10771444.0
2019-02-17,6467635.0
2019-02-24,6443238.0
2019-03-03,9105034.0
2019-03-10,9037817.0
2019-03-17,8628952.0
2019-03-24,8218925.0
2019-03-31,8041186.0
2019-04-07,7542205.0
2019-04-14,7124204.0
2019-04-21,6877177.0
2019-04-28,27464717.0
2019-05-05,24706915.0
2019-05-12,24622191.0
2019-05-19,32022952.0
2019-05-26,36067103.0
2019-06-02,27268615.0
2019-06-09,29688436.0
2019-06-16,26315551.0
2019-06-23,23549397.0
2019-06-30,21954489.0
2019-07-07,16198777.0
2019-07-14,15870156.0
2019-07-21,15208710.0
2019-07-28,14967441.0
2019-08-04,4733983.0
2019-08-18,5867659.0
2019-08-25,4561634.0
2019-09-22,39794294.0
2019-09-29,28750363.0
2019-10-06,22877721.0
2019-10-13,20829264.0
2019-10-20,17780830.0
2019-10-27,15573691.0
2019-11-03,13688931.0
2019-11-10,11543460.0
2019-11-17,10790649.0
2019-11-24,5229185.0
2019-12-01,16873595.0
2019-12-08,30397161.0
2019-12-15,20511549.0
2019-12-22,21146449.0
2019-12-29,31027439.0
2020-01-05,6489811.0
2020-01-12,6304985.0
2020-01-19,5705999.0
2020-03-08,8874869.0
2020-03-15,6461447.0
2020-03-22,5193927.0
2020-08-16,4671405.0
2020-08-23,6583559.0
2020-08-30,15582194.0
2020-09-06,16410115.0
2020-09-13,14310906.0
2020-09-20,8910417.0
2020-09-27,8368162.0
2020-10-04,7787190.0
2020-10-11,7157184.0
2020-10-18,6696357.0
2020-10-25,6655033.0
2020-11-01,5579410.0
2020-11-08,5067223.0
2020-11-15,5002789.0
2020-11-22,11172509.0
2020-11-29,9913441.0
2020-12-06,24274191.0
2020-12-13,29622646.0
2020-12-20,31158042.0
2020-12-27,58328910.0
2021-01-03,23330002.0
2021-03-07,7464020.0
2021-07-04,5725908.0
2021-07-11,5347263.0
2021-07-18,5425184.0
2021-07-25,6442681.0
2021-08-01,14341754.0
2021-08-08,6847758.0
2021-08-15,6122521.0
2021-08-22,18370653.0
2021-08-29,22887876.0
2021-09-05,21533475.0
2021-09-12,21503596.0
2021-09-19,19707633.0
2021-09-26,18169229.0
2021-10-03,16809912.0
2021-10-10,15551659.0
2021-10-17,5061933.0
2021-11-28,7417614.0
2021-12-05,14460190.0
2021-12-12,34048652.0
2021-12-19,31842613.0
2021-12-26,43504806.0
2022-01-02,47674406.0
2022-01-09,22463619.0
2022-01-16,49937703.0
2022-01-23,52909595.0
2022-01-30,77427079.0
2022-02-06,71545098.0
2022-02-13,81682146.0
2022-02-20,77199720.0
2022-02-27,71706798.0
2022-03-06,57243904.0
2022-03-13,59108730.0
2022-03-20,27491249.0
2022-03-27,30233106.0
2022-04-03,28845770.0
2022-04-10,21160561.0
2022-04-17,21646032.0
2022-04-24,14026598.0
2022-05-01,25045471.0
2022-05-08,23196927.0
2022-05-15,19004653.0
2022-05-22,6432379.0
2022-06-12,6783141.0
2022-06-19,10991400.0
2022-06-26,12683279.0
2022-07-03,13752330.0
2022-07-10,30898066.0
2022-07-17,25660390.0
2022-07-24,38739173.0
2022-07-31,36840714.0
2022-08-07,29839694.0
2022-08-14,36090652.0
2022-08-21,35990596.0
2022-08-28,29040452.0
2022-09-04,30476829.0
2022-09-11,33213552.0
2022-09-18,34801771.0
2022-09-25,33939552.0
2022-10-02,41603230.0
2022-10-09,42597072.0
2022-10-16,40516476.0
2022-10-23,38967907.0
2022-10-30,31936809.0
2022-11-06,36103694.0
2022-11-13,28612418.0
2022-11-20,42765263.0
2022-11-27,47807265.0
2022-12-04,56517474.0
2022-12-11,59173060.0
2022-12-18,66353515.0
2022-12-25,75645291.0
2023-01-01,95460445.0
2023-01-08,26382895.0
2023-01-15,25917505.0
2023-01-22,19166125.0
2023-01-29,19584423.0
2023-02-05,18621189.0
2023-02-12,18489756.0
2023-02-19,18584423.0
2023-02-26,16373032.0
2023-03-05,16470905.0
2023-03-12,16277843.0
2023-03-19,16193684.0
2023-03-26,15779784.0
2023-04-02,15873552.0
2023-04-09,15886659.0
2023-04-16,22293817.0
2023-04-23,27574668.0
2023-04-30,25589787.0
2023-05-07,23480246.0
2023-05-14,15221425.0
2023-05-21,14795654.0
2023-05-28,14770980.0
2023-06-04,24587049.0
2023-06-11,54339032.0
2023-06-18,51904962.0
2023-06-25,47998059.0
2023-07-02,47610752.0
2023-07-09,46898667.0
2023-07-16,39351239.0
2023-07-23,39835593.0
2023-07-30,30577110.0
2023-08-06,31023778.0
2023-08-13,29846656.0
2023-08-20,28808647.0
2023-08-27,28805183.0
2023-09-03,27895903.0
2023-09-10,26948646.0
2023-09-17,26817675.0
2023-09-24,27145202.0
2023-10-01,25374041.0
2023-10-08,24945804.0
2023-10-15,31562766.0
2023-10-22,31239341.0
2023-10-29,32890239.0
2023-11-05,32390373.0
2023-11-12,33632007.0
2023-11-19,44185725.0
2023-11-26,50959158.0
2023-12-03,75010915.0
2023-12-10,118357109.0
2023-12-17,124285319.0
2023-12-24,121909112.0
2023-12-31,158081840.0
2024-01-07,61846532.0
2024-01-14,67496870.0
2024-01-21,83468101.0
2024-01-28,88512448.0
2024-02-04,84755704.0
2024-02-11,90256122.0
2024-02-18,71490272.0
2024-02-25,70207409.0
2024-03-03,71668342.0
2024-03-10,69831106.0
2024-03-17,68609299.0
2024-03-24,66199027.0
2024-03-31,63950415.0
2024-04-07,60917776.0
2024-04-14,59090807.0
2024-04-21,60053966.0
2024-04-28,57398623.0
2024-05-05,49234616.0
2024-05-12,47902211.0
2024-05-19,47446522.0
2024-05-26,56852589.0
2024-06-02,56464113.0
2024-06-09,55112816.0
2024-06-16,53492139.0
2024-06-23,52221248.0
2024-06-30,50910760.0
2024-07-07,51513829.0
2024-07-14,49520999.0
2024-07-21,30386113.0
2024-07-28,28733567.0
2024-08-04,37105078.0
2024-08-11,37049387.0
2024-08-18,37109298.0
2024-08-25,29160703.0
2024-09-01,19231638.0
2024-09-08,29361387.0
2024-09-15,38992081.0
2024-09-22,40064606.0
2024-09-29,30568672.0
2024-10-06,29042511.0
2024-10-13,19682947.0
2024-10-20,19088312.0
2024-10-27,18458971.0
2024-11-03,29607484.0
2024-11-10,25958917.0
2024-11-17,27348286.0
2024-11-24,31970169.0
2024-12-01,106003976.0
2024-12-08,139309872.0
2024-12-15,131707475.0
2024-12-22,114980459.0
2024-12-29,147455140.0
2025-01-05,40634266.0
2025-01-12,34547604.0
2025-01-19,33859719.0
2025-01-26,32230705.0
2025-02-02,30560314.0
2025-02-09,31168567.0
2025-02-16,29757715.0
2025-02-23,27765356.0
2025-03-02,18347304.0
2025-03-09,17299035.0
2025-03-16,45797544.0
2025-03-23,45687985.0
