date,latin_music_total_streams
2017-01-01,29684376.0
2017-01-08,32034511.0
2017-01-15,29026431.0
2017-01-22,28706023.0
2017-01-29,25882107.0
2017-02-05,31217520.0
2017-02-12,32761623.0
2017-02-19,32739939.0
2017-02-26,32312547.0
2017-03-05,39572429.0
2017-03-12,34469096.0
2017-03-19,38550808.0
2017-03-26,35905497.0
2017-04-02,36873006.0
2017-04-09,40535738.0
2017-04-16,45222973.0
2017-04-23,39455203.0
2017-04-30,45700436.0
2017-05-07,46556976.0
2017-05-14,48283870.0
2017-05-21,52933272.0
2017-05-28,57434639.0
2017-06-04,58190483.0
2017-06-11,65364416.0
2017-06-18,66255964.0
2017-06-25,66563537.0
2017-07-02,66172748.0
2017-07-09,63808892.0
2017-07-16,66941016.0
2017-07-23,65855032.0
2017-07-30,65537870.0
2017-08-06,68179439.0
2017-08-13,75972886.0
2017-08-20,86379627.0
2017-08-27,96288733.0
2017-09-03,98381736.0
2017-09-10,103235748.0
2017-09-17,97149357.0
2017-09-24,106279543.0
2017-10-01,104488812.0
2017-10-08,101887476.0
2017-10-15,102557480.0
2017-10-22,106664907.0
2017-10-29,110483299.0
2017-11-05,112336949.0
2017-11-12,105013469.0
2017-11-19,128926420.0
2017-11-26,153492428.0
2017-12-03,160357130.0
2017-12-10,149486333.0
2017-12-17,139127885.0
2017-12-24,141531866.0
2017-12-31,139984825.0
2018-01-07,157505845.0
2018-01-14,156783517.0
2018-01-21,157714767.0
2018-01-28,162110392.0
2018-02-04,162290668.0
2018-02-11,164701175.0
2018-02-18,162454102.0
2018-02-25,168947334.0
2018-03-04,170183989.0
2018-03-11,168907882.0
2018-03-18,153521931.0
2018-03-25,156876705.0
2018-04-01,167326614.0
2018-04-08,153871002.0
2018-04-15,148400557.0
2018-04-22,162920415.0
2018-04-29,143977246.0
2018-05-06,142801162.0
2018-05-13,149476759.0
2018-05-20,147662502.0
2018-05-27,144719272.0
2018-06-03,156532136.0
2018-06-10,151295189.0
2018-06-17,145659638.0
2018-06-24,135158541.0
2018-07-01,136087932.0
2018-07-08,144321850.5
2018-07-15,143944653.0
2018-07-22,154495134.0
2018-07-29,153148012.5
2018-08-05,144289495.5
2018-08-12,149763586.5
2018-08-19,146477880.5
2018-08-26,146992725.5
2018-09-02,163591043.5
2018-09-09,157096073.0
2018-09-16,157130888.0
2018-09-23,141112945.5
2018-09-30,139723548.0
2018-10-07,128700218.5
2018-10-14,124512629.5
2018-10-21,162355661.0
2018-10-28,141758445.0
2018-11-04,137919457.0
2018-11-11,133803505.0
2018-11-18,146656021.0
2018-11-25,153224231.0
2018-12-02,152050186.0
2018-12-09,148518634.0
2018-12-16,130667593.0
2018-12-23,146342645.0
2018-12-30,133669295.0
2019-01-06,173240231.0
2019-01-13,166808386.0
2019-01-20,176633016.0
2019-01-27,168928362.0
2019-02-03,157271215.0
2019-02-10,162526521.0
2019-02-17,147991174.0
2019-02-24,151041426.0
2019-03-03,149116341.0
2019-03-10,159587243.0
2019-03-17,144883163.0
2019-03-24,165479932.0
2019-03-31,164373234.0
2019-04-07,166194654.0
2019-04-14,143754261.0
2019-04-21,152022451.0
2019-04-28,131318381.0
2019-05-05,121746434.0
2019-05-12,113902767.0
2019-05-19,112270607.0
2019-05-26,124345039.0
2019-06-02,122198879.0
2019-06-09,129137223.0
2019-06-16,141896584.0
2019-06-23,143214028.0
2019-06-30,131916033.0
2019-07-07,139145391.0
2019-07-14,115547990.0
2019-07-21,113730406.0
2019-07-28,115736957.0
2019-08-04,116923386.0
2019-08-11,124088777.0
2019-08-18,124373106.0
2019-08-25,131599266.0
2019-09-01,122349775.0
2019-09-08,119215066.0
2019-09-15,114863976.0
2019-09-22,113558953.0
2019-09-29,106352780.0
2019-10-06,112622323.0
2019-10-13,102431045.0
2019-10-20,110912307.0
2019-10-27,99298627.0
2019-11-03,113336783.0
2019-11-10,112897686.0
2019-11-17,114305391.0
2019-11-24,124929185.0
2019-12-01,130943598.0
2019-12-08,132029578.0
2019-12-15,103152686.0
2019-12-22,109327413.0
2019-12-29,105091960.0
2020-01-05,127583162.0
2020-01-12,125648084.0
2020-01-19,167735418.0
2020-01-26,162110724.0
2020-02-02,158490310.0
2020-02-09,154890170.0
2020-02-16,163513060.0
2020-02-23,174342312.0
2020-03-01,166879920.5
2020-03-08,417203576.0
2020-03-15,390397006.0
2020-03-22,313254518.0
2020-03-29,254747200.0
2020-04-05,221442695.0
2020-04-12,209996319.0
2020-04-19,200927675.0
2020-04-26,197417777.0
2020-05-03,187001779.0
2020-05-10,182920785.0
2020-05-17,247021130.0
2020-05-24,210340780.0
2020-05-31,191537954.0
2020-06-07,206796987.0
2020-06-14,195020828.0
2020-06-21,184878315.0
2020-06-28,169970412.0
2020-07-05,171879494.0
2020-07-12,188714927.0
2020-07-19,168750656.0
2020-07-26,167195939.0
2020-08-02,169867780.0
2020-08-09,168731911.0
2020-08-16,159250066.0
2020-08-23,154712908.0
2020-08-30,170621861.0
2020-09-06,172514563.0
2020-09-13,175479373.0
2020-09-20,177488847.0
2020-09-27,174907542.0
2020-10-04,176550689.0
2020-10-11,166414050.0
2020-10-18,171470239.0
2020-10-25,168971055.0
2020-11-01,158472013.0
2020-11-08,201352303.0
2020-11-15,227584326.0
2020-11-22,203396921.0
2020-11-29,195044183.0
2020-12-06,417688081.0
2020-12-13,271925691.0
2020-12-20,235647623.0
2020-12-27,236836602.0
2021-01-03,236806682.0
2021-01-10,228169687.0
2021-01-17,235173248.0
2021-01-24,234010337.0
2021-01-31,244057400.0
2021-02-07,219170365.0
2021-02-14,198652123.0
2021-02-21,199546460.0
2021-02-28,204721347.0
2021-03-07,203354231.0
2021-03-14,219079122.0
2021-03-21,222404231.0
2021-03-28,217190330.0
2021-04-04,214417246.0
2021-04-11,196892060.0
2021-04-18,195702393.0
2021-04-25,201243672.0
2021-05-02,232595108.0
2021-05-09,235377699.0
2021-05-16,223838348.0
2021-05-23,204186631.0
2021-05-30,192054593.0
2021-06-06,193881388.0
2021-06-13,235235497.0
2021-06-20,227713276.0
2021-06-27,209912685.0
2021-07-04,218279563.0
2021-07-11,232453946.0
2021-07-18,254882712.0
2021-07-25,248702704.0
2021-08-01,261868189.0
2021-08-08,266202098.0
2021-08-15,273271129.0
2021-08-22,284381859.0
2021-08-29,274059121.0
2021-09-05,239191428.0
2021-09-12,213056201.0
2021-09-19,215094199.0
2021-09-26,197544149.0
2021-10-03,187738974.0
2021-10-10,184928161.0
2021-10-17,181579505.0
2021-10-24,170124945.0
2021-10-31,166600320.0
2021-11-07,152820255.0
2021-11-14,167652711.0
2021-11-21,132257496.0
2021-11-28,146671682.0
2021-12-05,147661176.0
2021-12-12,138277964.0
2021-12-19,123959459.0
2021-12-26,120700522.0
2022-01-02,110528338.0
2022-01-09,139020325.0
2022-01-16,119087652.0
2022-01-23,120096297.0
2022-01-30,129615578.0
2022-02-06,137396274.0
2022-02-13,135275829.0
2022-02-20,164890500.0
2022-02-27,176802178.0
2022-03-06,190279746.0
2022-03-13,187215086.0
2022-03-20,188778769.0
2022-03-27,182037698.0
2022-04-03,171472142.0
2022-04-10,173377512.0
2022-04-17,169031535.0
2022-04-24,158707508.0
2022-05-01,194149207.0
2022-05-08,205456760.0
2022-05-15,792090723.0
2022-05-22,576547209.0
2022-05-29,528528013.0
2022-06-05,500942308.0
2022-06-12,486772136.0
2022-06-19,474557448.0
2022-06-26,447689942.0
2022-07-03,427963712.0
2022-07-10,448842018.0
2022-07-17,456028028.0
2022-07-24,468468068.0
2022-07-31,455605960.0
2022-08-07,452278783.0
2022-08-14,453490633.0
2022-08-21,453973934.0
2022-08-28,445167856.0
2022-09-04,434174340.0
2022-09-11,418675431.0
2022-09-18,371360101.0
2022-09-25,345568313.0
2022-10-02,348675583.0
2022-10-09,348434998.0
2022-10-16,320957406.0
2022-10-23,313538092.0
2022-10-30,309772902.0
2022-11-06,306105982.0
2022-11-13,269610833.0
2022-11-20,279337263.0
2022-11-27,282987902.0
2022-12-04,257304593.0
2022-12-11,285729546.0
2022-12-18,240973937.0
2022-12-25,233808503.0
2023-01-01,237612705.0
2023-01-08,277306740.0
2023-01-15,256351005.0
2023-01-22,343600840.0
2023-01-29,300999313.0
2023-02-05,292797799.0
2023-02-12,291668850.0
2023-02-19,263425498.0
2023-02-26,255156325.0
2023-03-05,304245151.0
2023-03-12,289898292.0
2023-03-19,308916170.0
2023-03-26,351578794.0
2023-04-02,345972766.0
2023-04-09,319443143.0
2023-04-16,273815974.0
2023-04-23,320649383.0
2023-04-30,360810227.0
2023-05-07,328717729.0
2023-05-14,343594555.0
2023-05-21,299479940.0
2023-05-28,326150691.0
2023-06-04,308927524.0
2023-06-11,293434904.0
2023-06-18,280263507.0
2023-06-25,276359384.0
2023-07-02,308682040.0
2023-07-09,296922572.0
2023-07-16,270348271.0
2023-07-23,281749810.0
2023-07-30,258056124.0
2023-08-06,209446194.0
2023-08-13,214165499.0
2023-08-20,234781739.0
2023-08-27,219340387.0
2023-09-03,167358349.0
2023-09-10,189479980.0
2023-09-17,143118010.0
2023-09-24,156798138.0
2023-10-01,188791411.0
2023-10-08,201584054.0
2023-10-15,232295019.0
2023-10-22,639096586.0
2023-10-29,412180592.0
2023-11-05,273038181.0
2023-11-12,241057515.0
2023-11-19,224265984.0
2023-11-26,189137006.0
2023-12-03,190499657.0
2023-12-10,165830925.0
2023-12-17,164186378.0
2023-12-24,179144728.0
2023-12-31,169743191.0
2024-01-07,196708495.0
2024-01-14,182312956.0
2024-01-21,218808024.0
2024-01-28,244857066.0
2024-02-04,228295262.0
2024-02-11,206192941.0
2024-02-18,198499839.0
2024-02-25,239202308.0
2024-03-03,240956346.0
2024-03-10,203223001.0
2024-03-17,192698550.0
2024-03-24,176943988.0
2024-03-31,132054905.0
2024-04-07,115471555.0
2024-04-14,173839621.0
2024-04-21,211653039.0
2024-04-28,217372065.0
2024-05-05,178092568.0
2024-05-12,176692594.0
2024-05-19,162983393.0
2024-05-26,135134372.0
2024-06-02,148079736.0
2024-06-09,165976877.0
2024-06-16,189540716.0
2024-06-23,135098582.0
2024-06-30,137619970.0
2024-07-07,164975891.0
2024-07-14,171469366.0
2024-07-21,196715339.0
2024-07-28,211180966.0
2024-08-04,203327157.0
2024-08-11,185437434.0
2024-08-18,194528662.0
2024-08-25,178791425.0
2024-09-01,167551830.0
2024-09-08,160730758.0
2024-09-15,157297527.0
2024-09-22,165850324.0
2024-09-29,186135549.0
2024-10-06,177626200.0
2024-10-13,177730553.0
2024-10-20,163820762.0
2024-10-27,149423597.0
2024-11-03,133568890.0
2024-11-10,131480893.0
2024-11-17,157344864.0
2024-11-24,110467186.0
2024-12-01,113287863.0
2024-12-08,90790431.0
2024-12-15,120079503.0
2024-12-22,101145764.0
2024-12-29,75611051.0
2025-01-05,150076585.0
2025-01-12,453168795.0
2025-01-19,731450660.0
2025-01-26,640816373.0
2025-02-02,527638223.0
2025-02-09,434554307.0
2025-02-16,375091925.0
2025-02-23,314520022.0
2025-03-02,319908640.0
2025-03-09,294462802.0
2025-03-16,271932720.0
2025-03-23,265661047.0
